transaction_id,transaction_date,store_id,store_name,region,city,product_name,category,unit_price_ghs,quantity,discount_pct,subtotal_ghs,discount_amount_ghs,total_ghs,payment_method,cashier_id,customer_id,age
TX10047,2023-07-28,STR003,Takoradi Market,Western,Takoradi,Body Lotion 400ml,Health & Beauty,30.35,4,0.0,121.4,0.0,121.4,Cash,CSH026,CUS0446,65.0
TX10048,2023-10-25,STR001,Accra Central,Greater Accra,Accra,Power Bank,Electronics,223.39,12,0.0,2680.68,0.0,2680.68,Cash,CSH012,CUS0175,46.0
TX10049,2023-03-03,STR004,Tema Hub,Greater Accra,Tema,Men Trousers,Clothing,43.64,2,0.1,87.28,8.73,78.55,Cash,CSH017,CUS0446,65.0
TX10050,2023-06-04,STR005,Tamale North,Northern,Tamale,Women Blouse,Clothing,102.93,5,0.0,514.65,0.0,514.65,Cash,CSH023,CUS0051,59.0
TX10051,2023-08-14,STR002,Kumasi Main,Ashanti,Kumasi,Washing Powder 1kg,Household,57.36,10,0.0,573.6,0.0,573.6,MoMo,CSH003,CUS0364,33.0
TX10052,2023-10-16,STR004,Tema Hub,Greater Accra,Tema,Washing Powder 1kg,Household,39.62,11,0.0,435.82,0.0,435.82,Cash,CSH026,CUS0055,46.0
TX10053,2023-08-08,STR005,Tamale North,Northern,Tamale,Biscuits Pack,Grocery,17.83,8,0.0,142.64,0.0,142.64,Bank Card,CSH007,CUS0244,65.0
TX10054,2023-01-02,STR002,Kumasi Main,Ashanti,Kumasi,Women Blouse,Clothing,34.02,3,0.05,102.06,5.1,96.96,Cash,CSH010,CUS0320,19.0
TX10055,2023-04-12,STR004,Tema Hub,Greater Accra,Tema,Phone Charger,Electronics,788.75,11,0.05,8676.25,433.81,8242.44,MoMo,CSH003,CUS0131,58.0
TX10056,2023-08-28,STR001,Accra Central,Greater Accra,Accra,Flour 1kg,Grocery,26.21,10,0.0,262.1,0.0,262.1,Cash,CSH020,CUS0485,37.0
TX10057,2023-12-12,STR001,Accra Central,Greater Accra,Accra,Plastic Basin,Household,41.22,1,0.0,41.22,0.0,41.22,Cash,CSH016,CUS0307,23.0
TX10058,2023-09-09,STR005,Tamale North,Northern,Tamale,Broom,Household,15.89,10,0.0,158.9,0.0,158.9,MoMo,CSH011,CUS0135,65.0
TX10059,2023-01-19,STR004,Tema Hub,Greater Accra,Tema,Broom,Household,44.76,7,0.15,313.32,47.0,266.32,MoMo,CSH017,CUS0021,44.0
TX10060,2023-09-13,STR001,Accra Central,Greater Accra,Accra,Lip Balm,Health & Beauty,25.08,4,0.05,100.32,5.02,95.3,Cash,CSH029,CUS0329,43.0
TX10062,2023-05-20,STR004,Tema Hub,Greater Accra,Tema,Wireless Earbuds,Electronics,446.19,12,0.0,5354.28,0.0,5354.28,MoMo,CSH007,CUS0274,62.0
TX10063,2023-08-01,STR005,Tamale North,Northern,Tamale,Toothpaste 100g,Health & Beauty,48.07,5,0.15,240.35,36.05,204.3,unknown,CSH027,CUS0388,26.0
TX10064,2023-06-20,STR005,Tamale North,Northern,Tamale,Lip Balm,Health & Beauty,48.13,8,0.05,385.04,19.25,365.79,MoMo,CSH013,CUS0089,47.0
TX10065,2023-07-15,STR002,Kumasi Main,Ashanti,Kumasi,Mop & Bucket Set,Household,24.09,8,0.1,192.72,19.27,173.45,Bank Card,CSH005,CUS0316,33.0
TX10066,2023-08-22,STR005,Tamale North,Northern,Tamale,Sunscreen SPF30,Health & Beauty,48.35,8,0.0,386.8,0.0,386.8,MoMo,CSH026,CUS0014,58.0
TX10067,2023-12-12,STR003,Takoradi Market,Western,Takoradi,Socks Pack 3,Clothing,88.66,11,0.0,975.26,0.0,975.26,Bank Card,CSH020,CUS0242,27.0
TX10068,2023-02-20,STR001,Accra Central,Greater Accra,Accra,Flour 1kg,Grocery,41.9,12,0.0,502.8,0.0,502.8,Cash,CSH002,CUS0265,48.0
TX10069,2023-12-16,STR003,Takoradi Market,Western,Takoradi,Women Dress,Clothing,61.93,4,0.05,247.72,12.39,235.33,Cash,CSH016,CUS0346,25.0
TX10070,2023-01-05,STR005,Tamale North,Northern,Tamale,Sugar 2kg,Grocery,20.98,5,0.0,104.9,0.0,104.9,Cash,CSH019,CUS0053,51.0
TX10071,2023-09-05,STR003,Takoradi Market,Western,Takoradi,Broom,Household,32.41,5,0.0,162.05,0.0,162.05,Credit,CSH001,CUS0386,24.0
TX10072,2023-01-26,STR004,Tema Hub,Greater Accra,Tema,Men T-Shirt,Clothing,75.72,11,0.15,832.92,124.94,707.98,MoMo,CSH012,CUS0340,22.0
TX10073,2023-03-12,STR002,Kumasi Main,Ashanti,Kumasi,Cornflakes 500g,Grocery,12.77,12,0.15,153.24,22.99,130.25,MoMo,CSH012,CUS0092,22.0
TX10074,2023-10-04,STR002,Kumasi Main,Ashanti,Kumasi,Power Bank,Electronics,308.01,7,0.0,2156.07,0.0,2156.07,Cash,CSH016,CUS0367,48.0
TX10075,2023-04-26,STR003,Takoradi Market,Western,Takoradi,Women Blouse,Clothing,65.77,2,0.0,131.54,0.0,131.54,MoMo,CSH018,CUS0444,32.0
TX10076,2023-11-23,STR001,Accra Central,Greater Accra,Accra,Plastic Basin,Household,45.37,11,0.0,499.07,0.0,499.07,MoMo,CSH011,CUS0455,46.0
TX10077,2023-07-29,STR005,Tamale North,Northern,Tamale,Cooking Oil 5L,Grocery,27.78,8,0.1,222.24,22.22,200.02,Cash,CSH008,CUS0428,32.0
TX10078,2023-10-04,STR005,Tamale North,Northern,Tamale,Sardines 125g,Grocery,20.69,11,0.1,227.59,22.76,204.83,MoMo,CSH016,CUS0264,21.0
TX10079,2023-05-01,STR005,Tamale North,Northern,Tamale,Broom,Household,6.96,6,0.0,41.76,0.0,41.76,Cash,CSH002,CUS0431,37.0
TX10080,2023-11-25,STR004,Tema Hub,Greater Accra,Tema,School Uniform,Clothing,116.76,8,0.0,934.08,0.0,934.08,MoMo,CSH003,CUS0035,58.0
TX10081,2023-11-02,STR005,Tamale North,Northern,Tamale,Cornflakes 500g,Grocery,11.42,4,0.0,45.68,0.0,45.68,MoMo,CSH006,CUS0206,18.0
TX10082,2023-03-31,STR001,Accra Central,Greater Accra,Accra,Wireless Earbuds,Electronics,56.96,4,0.05,227.84,11.39,216.45,Cash,CSH015,CUS0081,23.0
TX10083,2023-01-23,STR003,Takoradi Market,Western,Takoradi,Deodorant,Health & Beauty,9.56,9,0.0,86.04,0.0,86.04,Bank Card,CSH014,CUS0420,27.0
TX10084,2023-02-03,STR001,Accra Central,Greater Accra,Accra,Air Freshener,Household,9.41,2,0.0,18.82,0.0,18.82,MoMo,CSH020,CUS0050,25.0
TX10085,2023-02-28,STR005,Tamale North,Northern,Tamale,Sandals,Clothing,69.57,7,0.0,486.99,0.0,486.99,MoMo,CSH014,CUS0360,49.0
TX10086,2023-12-18,STR001,Accra Central,Greater Accra,Accra,Sneakers Size 40,Clothing,49.88,5,0.0,249.4,0.0,249.4,Credit,CSH012,CUS0388,26.0
TX10087,2023-03-04,STR002,Kumasi Main,Ashanti,Kumasi,Body Lotion 400ml,Health & Beauty,33.91,9,0.05,305.19,15.26,289.93,Cash,CSH002,CUS0002,20.0
TX10088,2023-12-03,STR003,Takoradi Market,Western,Takoradi,Painkillers 20s,Health & Beauty,21.93,10,0.05,219.3,10.97,208.33,Cash,CSH009,CUS0390,29.0
TX10089,2023-10-13,STR005,Tamale North,Northern,Tamale,Sardines 125g,Grocery,35.96,10,0.05,359.6,17.98,341.62,MoMo,CSH023,CUS0054,62.0
TX10090,2023-02-05,STR003,Takoradi Market,Western,Takoradi,Women Dress,Clothing,18.62,3,0.05,55.86,2.79,53.07,MoMo,CSH014,CUS0106,46.0
TX10091,2023-10-18,STR004,Tema Hub,Greater Accra,Tema,Children Shorts,Clothing,55.75,12,0.0,669.0,0.0,669.0,MoMo,CSH009,CUS0260,30.0
TX10092,2023-09-20,STR004,Tema Hub,Greater Accra,Tema,Air Freshener,Household,41.42,7,0.0,289.94,0.0,289.94,Cash,CSH022,CUS0310,65.0
TX10093,2023-06-04,STR003,Takoradi Market,Western,Takoradi,Phone Charger,Electronics,363.19,10,0.0,3631.9,0.0,3631.9,Cash,CSH024,CUS0477,39.0
TX10094,2023-12-09,STR004,Tema Hub,Greater Accra,Tema,Tomato Paste 400g,Grocery,17.83,12,0.0,213.96,0.0,213.96,MoMo,CSH003,CUS0191,43.0
TX10095,2023-02-28,STR003,Takoradi Market,Western,Takoradi,Baby Powder,Health & Beauty,33.24,12,0.1,398.88,39.89,358.99,Cash,CSH023,CUS0402,56.0
TX10096,2023-09-26,STR003,Takoradi Market,Western,Takoradi,LED Desk Lamp,Electronics,724.81,4,0.0,2899.24,0.0,2899.24,MoMo,CSH003,CUS0218,55.0
TX10097,2023-11-27,STR005,Tamale North,Northern,Tamale,USB Hub,Electronics,455.51,6,0.0,2733.06,0.0,2733.06,MoMo,CSH025,CUS0044,40.0
TX10098,2023-12-15,STR001,Accra Central,Greater Accra,Accra,Oats 500g,Grocery,21.09,10,0.15,210.9,31.63,179.27,MoMo,CSH021,CUS0162,21.0
TX10099,2023-08-20,STR003,Takoradi Market,Western,Takoradi,Socks Pack 3,Clothing,23.73,9,0.0,213.57,0.0,213.57,Cash,CSH003,CUS0202,65.0
TX10100,2023-01-22,STR005,Tamale North,Northern,Tamale,Face Wash,Health & Beauty,23.61,10,0.05,236.1,11.8,224.3,Credit,CSH005,CUS0446,65.0
TX10101,2023-11-27,STR001,Accra Central,Greater Accra,Accra,Washing Powder 1kg,Household,53.66,6,0.1,321.96,32.2,289.76,Cash,CSH006,CUS0484,52.0
TX10102,2023-11-20,STR003,Takoradi Market,Western,Takoradi,Men Trousers,Clothing,57.52,6,0.1,345.12,34.51,310.61,MoMo,CSH028,CUS0270,20.0
TX10103,2023-06-08,STR005,Tamale North,Northern,Tamale,Milk Powder 400g,Grocery,6.18,11,0.0,67.98,0.0,67.98,Bank Card,CSH026,CUS0351,44.0
TX10104,2023-01-10,STR003,Takoradi Market,Western,Takoradi,Biscuits Pack,Grocery,6.64,11,0.0,73.04,0.0,73.04,MoMo,CSH008,CUS0304,60.0
TX10105,2023-09-27,STR002,Kumasi Main,Ashanti,Kumasi,Cooking Oil 5L,Grocery,14.54,2,0.05,29.08,1.45,27.63,MoMo,CSH006,CUS0271,65.0
TX10106,2023-05-02,STR002,Kumasi Main,Ashanti,Kumasi,Toothpaste 100g,Health & Beauty,40.78,1,0.0,40.78,0.0,40.78,Cash,CSH010,CUS0456,35.0
TX10107,2023-05-25,STR004,Tema Hub,Greater Accra,Tema,Milk Powder 400g,Grocery,29.45,10,0.0,294.5,0.0,294.5,MoMo,CSH005,CUS0462,59.0
TX10108,2023-09-22,STR003,Takoradi Market,Western,Takoradi,Webcam HD,Electronics,748.66,9,0.0,6737.94,0.0,6737.94,MoMo,CSH027,CUS0215,51.0
TX10109,2023-07-22,STR004,Tema Hub,Greater Accra,Tema,Phone Charger,Electronics,702.45,6,0.0,4214.7,0.0,4214.7,Cash,CSH004,CUS0252,26.0
TX10110,2023-12-28,STR003,Takoradi Market,Western,Takoradi,Tomato Paste 400g,Grocery,4.49,8,0.1,35.92,3.59,32.33,unknown,CSH005,CUS0190,48.0
TX10111,2023-01-25,STR005,Tamale North,Northern,Tamale,Face Wash,Health & Beauty,25.59,5,0.0,127.95,0.0,127.95,Cash,CSH016,CUS0296,35.0
TX10112,2023-05-30,STR005,Tamale North,Northern,Tamale,Body Lotion 400ml,Health & Beauty,36.23,10,0.0,362.3,0.0,362.3,MoMo,CSH003,CUS0213,22.0
TX10113,2023-09-17,STR005,Tamale North,Northern,Tamale,Women Blouse,Clothing,115.25,9,0.05,1037.25,51.86,985.39,MoMo,CSH024,CUS0208,47.0
TX10114,2023-10-25,STR001,Accra Central,Greater Accra,Accra,Women Blouse,Clothing,53.17,12,0.1,638.04,63.8,574.24,MoMo,CSH025,CUS0237,31.0
TX10115,2023-08-23,STR004,Tema Hub,Greater Accra,Tema,Toilet Cleaner,Household,53.69,2,0.1,107.38,10.74,96.64,MoMo,CSH010,CUS0338,38.0
TX10116,2023-05-27,STR005,Tamale North,Northern,Tamale,Candles Pack,Household,33.4,1,0.15,33.4,5.01,28.39,MoMo,CSH012,CUS0367,48.0
TX10117,2023-09-12,STR004,Tema Hub,Greater Accra,Tema,Air Freshener,Household,58.68,7,0.0,410.76,0.0,410.76,Credit,CSH003,CUS0053,51.0
TX10118,2023-12-05,STR004,Tema Hub,Greater Accra,Tema,Toothpaste 100g,Health & Beauty,31.82,6,0.0,190.92,0.0,190.92,Cash,CSH015,CUS0280,62.0
TX10119,2023-01-30,STR001,Accra Central,Greater Accra,Accra,Socks Pack 3,Clothing,119.81,5,0.1,599.05,59.91,539.14,Credit,CSH001,CUS0410,51.0
TX10120,2023-07-07,STR002,Kumasi Main,Ashanti,Kumasi,Lip Balm,Health & Beauty,5.77,2,0.0,11.54,0.0,11.54,MoMo,CSH012,CUS0217,48.0
TX10121,2023-11-29,STR003,Takoradi Market,Western,Takoradi,Washing Powder 1kg,Household,39.44,9,0.0,354.96,0.0,354.96,Cash,CSH030,CUS0252,26.0
TX10122,2023-11-10,STR005,Tamale North,Northern,Tamale,Power Bank,Electronics,668.85,12,0.0,8026.2,0.0,8026.2,Cash,CSH015,CUS0188,40.0
TX10123,2023-02-03,STR002,Kumasi Main,Ashanti,Kumasi,Washing Powder 1kg,Household,53.63,6,0.1,321.78,32.18,289.6,Cash,CSH006,CUS0380,44.0
TX10124,2023-09-10,STR003,Takoradi Market,Western,Takoradi,Hand Sanitizer 250ml,Health & Beauty,10.19,4,0.15,40.76,6.11,34.65,Cash,CSH020,CUS0493,59.0
TX10125,2023-07-30,STR001,Accra Central,Greater Accra,Accra,Power Bank,Electronics,365.52,12,0.1,4386.24,438.62,3947.62,MoMo,CSH015,CUS0041,26.0
TX10126,2023-03-08,STR005,Tamale North,Northern,Tamale,Children Shorts,Clothing,107.55,9,0.1,967.95,96.8,871.15,MoMo,CSH006,CUS0157,34.0
TX10127,2023-05-09,STR002,Kumasi Main,Ashanti,Kumasi,School Uniform,Clothing,53.29,9,0.0,479.61,0.0,479.61,Bank Card,CSH003,CUS0015,60.0
TX10128,2023-11-06,STR005,Tamale North,Northern,Tamale,Cornflakes 500g,Grocery,39.72,3,0.0,119.16,0.0,119.16,MoMo,CSH021,CUS0301,26.0
TX10129,2023-09-12,STR005,Tamale North,Northern,Tamale,School Uniform,Clothing,96.23,7,0.05,673.61,33.68,639.93,MoMo,CSH010,CUS0065,62.0
TX10130,2023-06-24,STR004,Tema Hub,Greater Accra,Tema,Smart TV 43in,Electronics,172.25,7,0.0,1205.75,0.0,1205.75,MoMo,CSH013,CUS0345,64.0
TX10131,2023-05-17,STR002,Kumasi Main,Ashanti,Kumasi,Baseball Cap,Clothing,75.29,6,0.0,451.74,0.0,451.74,MoMo,CSH014,CUS0327,50.0
TX10132,2023-03-23,STR002,Kumasi Main,Ashanti,Kumasi,Milk Powder 400g,Grocery,39.42,12,0.0,473.04,0.0,473.04,Cash,CSH013,CUS0009,20.0
TX10133,2023-09-11,STR005,Tamale North,Northern,Tamale,Dish Soap 750ml,Household,17.91,6,0.0,107.46,0.0,107.46,Cash,CSH024,CUS0344,34.0
TX10134,2023-07-05,STR003,Takoradi Market,Western,Takoradi,Plastic Basin,Household,7.71,1,0.05,7.71,0.39,7.32,MoMo,CSH020,CUS0129,37.0
TX10135,2023-06-23,STR005,Tamale North,Northern,Tamale,Wireless Earbuds,Electronics,829.94,7,0.0,5809.58,0.0,5809.58,MoMo,CSH002,CUS0492,60.0
TX10136,2023-03-13,STR002,Kumasi Main,Ashanti,Kumasi,Sandals,Clothing,70.97,3,0.05,212.91,10.65,202.26,Bank Card,CSH010,CUS0136,23.0
TX10138,2023-10-24,STR001,Accra Central,Greater Accra,Accra,Lip Balm,Health & Beauty,17.54,11,0.15,192.94,28.94,164.0,Credit,CSH025,CUS0063,55.0
TX10139,2023-08-14,STR004,Tema Hub,Greater Accra,Tema,Sugar 2kg,Grocery,4.23,12,0.0,50.76,0.0,50.76,Cash,CSH030,CUS0139,25.0
TX10140,2023-09-02,STR004,Tema Hub,Greater Accra,Tema,Wireless Earbuds,Electronics,462.54,9,0.0,4162.86,0.0,4162.86,Credit,CSH022,CUS0499,59.0
TX10141,2023-04-26,STR003,Takoradi Market,Western,Takoradi,Lip Balm,Health & Beauty,13.81,4,0.0,55.24,0.0,55.24,MoMo,CSH012,CUS0081,23.0
TX10142,2023-07-22,STR005,Tamale North,Northern,Tamale,Men Trousers,Clothing,30.43,11,0.05,334.73,16.74,317.99,Cash,CSH012,CUS0392,40.0
TX10143,2023-12-23,STR004,Tema Hub,Greater Accra,Tema,Sandals,Clothing,39.83,9,0.0,358.47,0.0,358.47,Bank Card,CSH029,CUS0163,48.0
TX10144,2023-02-21,STR005,Tamale North,Northern,Tamale,Sugar 2kg,Grocery,5.05,7,0.0,35.35,0.0,35.35,MoMo,CSH029,CUS0419,62.0
TX10145,2023-01-31,STR004,Tema Hub,Greater Accra,Tema,Dish Soap 750ml,Household,50.35,5,0.0,251.75,0.0,251.75,Cash,CSH030,CUS0289,19.0
TX10146,2023-09-11,STR002,Kumasi Main,Ashanti,Kumasi,Toilet Cleaner,Household,61.04,1,0.15,61.04,9.16,51.88,Cash,CSH010,CUS0379,25.0
TX10147,2023-11-25,STR005,Tamale North,Northern,Tamale,Shampoo 300ml,Health & Beauty,51.35,6,0.0,308.1,0.0,308.1,MoMo,CSH004,CUS0261,23.0
TX10148,2023-06-22,STR003,Takoradi Market,Western,Takoradi,Oats 500g,Grocery,28.28,12,0.0,339.36,0.0,339.36,Cash,CSH013,CUS0490,26.0
TX10150,2023-12-21,STR003,Takoradi Market,Western,Takoradi,Socks Pack 3,Clothing,91.73,1,0.0,91.73,0.0,91.73,MoMo,CSH030,CUS0041,26.0
TX10151,2023-09-02,STR003,Takoradi Market,Western,Takoradi,Power Bank,Electronics,340.87,4,0.0,1363.48,0.0,1363.48,Credit,CSH016,CUS0028,65.0
TX10152,2023-09-27,STR005,Tamale North,Northern,Tamale,Sugar 2kg,Grocery,29.53,10,0.15,295.3,44.3,251.0,MoMo,CSH018,CUS0135,65.0
TX10153,2023-08-15,STR005,Tamale North,Northern,Tamale,Cornflakes 500g,Grocery,23.93,3,0.0,71.79,0.0,71.79,Bank Card,CSH026,CUS0201,57.0
TX10155,2023-02-05,STR001,Accra Central,Greater Accra,Accra,Plastic Basin,Household,47.02,9,0.0,423.18,0.0,423.18,Bank Card,CSH024,CUS0268,64.0
TX10156,2023-12-05,STR004,Tema Hub,Greater Accra,Tema,Sneakers Size 40,Clothing,63.75,7,0.0,446.25,0.0,446.25,Cash,CSH005,CUS0418,57.0
TX10157,2023-08-06,STR002,Kumasi Main,Ashanti,Kumasi,Smart TV 43in,Electronics,832.68,8,0.1,6661.44,666.14,5995.3,MoMo,CSH029,CUS0033,26.0
TX10158,2023-02-21,STR001,Accra Central,Greater Accra,Accra,LED Desk Lamp,Electronics,540.01,1,0.0,540.01,0.0,540.01,Cash,CSH013,CUS0048,54.0
TX10159,2023-05-29,STR004,Tema Hub,Greater Accra,Tema,Biscuits Pack,Grocery,11.47,1,0.0,11.47,0.0,11.47,MoMo,CSH027,CUS0407,35.0
TX10160,2023-06-03,STR003,Takoradi Market,Western,Takoradi,Flour 1kg,Grocery,37.17,11,0.05,408.87,20.44,388.43,Cash,CSH022,CUS0062,35.0
